小区名,行政区,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
龙光玖龙台,光明区,光明街道,凤凰城,13/6,0.0,284.9,154762,22.74809,113.929095
电建洺悦鹏著,光明区,光明街道,虹桥公园,6B,0.0,184.0,19658,22.754807,113.944877
深铁瑞城,光明区,凤凰街道,长圳,6,0.0,305.1,199939,22.731055,113.92376
新地中央花园,光明区,光明街道,光明大街,6,1.3,200.5,37930,22.763248,113.938193
福庄花园,光明区,马田街道,薯田埔,6,4.6,98.0,18919,22.783645,113.863901
凤凰英荟城,光明区,凤凰街道,长圳,6,5.1,275.0,204830,22.730844,113.928171
宏发·美域,光明区,公明街道,红花山,6,6.0,257.5,42223,22.77921,113.903587
宏发雍景城,光明区,公明街道,红花山,6,8.3,167.7,85353,22.782363,113.901435
益田假日府邸,光明区,马田街道,新庄,13,8.5,123.4,10927,22.769835,113.898808
薯田埔花园,光明区,马田街道,薯田埔,6,12.3,165.2,53284,22.785118,113.861932
特区建发乐府广场,光明区,光明街道,凤凰城,13/6,13.5,180.1,46646,22.751626,113.926807
伟城贤德瑞府,光明区,公明街道,李松蓢,13,33.1,104.2,9378,22.806867,113.888648
富豪花园,光明区,公明街道,公明广场,13/6,33.5,319.5,39486,22.780548,113.890187
安居萃云阁,光明区,光明街道,德雅路,13,42.6,226.5,10101,22.74314,113.940808
深圳地铁长圳车辆段上盖物业,光明区,凤凰街道,长圳,6,45.2,362.4,149193,22.731441,113.923382
长春花园,光明区,公明街道,上村,13,47.4,220.4,64463,22.785913,113.89041
秋园雅苑,光明区,马田街道,将围,13,56.9,368.6,11634,22.763091,113.901333
瑞璟公馆,光明区,马田街道,薯田埔,6,84.4,195.0,9023,22.785789,113.863347
安居·鸣鹿苑北区,光明区,玉塘街道,长圳,6,86.4,309.8,41786,22.726874,113.924606
金地明峰府,光明区,马田街道,薯田埔,6,103.1,423.7,30177,22.783214,113.859034
金融街华发·融御华府,光明区,凤凰街道,凤凰城,13/6,105.5,290.8,23364,22.748852,113.925792
中海时光境,光明区,凤凰街道,光明城,13/6B,109.3,378.4,27985,22.738905,113.947317
玺云著花园,光明区,新湖街道,科学公园,6,118.7,229.8,21233,22.782458,113.929966
天汇时代花园·二期,光明区,马田街道,公明广场,13/6,122.2,420.7,33775,22.776628,113.888672
华侨城·九樾广场,光明区,新湖街道,科学公园,6,124.2,196.4,6866,22.782128,113.928501
润宏城·润雅园,光明区,凤凰街道,月亮路,13,126.7,243.6,19280,22.751533,113.906955
安居澜庭,光明区,新湖街道,中大,6B,142.5,351.9,69306,22.796373,113.949724
光明大第,光明区,光明街道,德雅路,13,143.4,439.0,66805,22.744257,113.939103
华润润晖府,光明区,凤凰街道,德雅路,13,145.6,416.1,17406,22.738583,113.944642
富安花园,光明区,光明街道,虹桥公园,6B,150.4,327.1,42862,22.755415,113.943175
绿地新都会,光明区,光明街道,光明大街,6,154.1,288.0,21089,22.766374,113.935536
明景园,光明区,公明街道,红花山,6,157.9,399.9,5820,22.779695,113.905541
端慧苑,光明区,马田街道,将围,13,162.0,529.3,8517,22.764475,113.900169
佳兆业云峰汇,光明区,光明街道,光明大街,6,176.9,412.5,33139,22.768522,113.936529
特发学府朗园,光明区,公明街道,李松蓢,13,194.1,382.6,30078,22.804229,113.888194
星河天地四期·SPARK星寓,光明区,光明街道,光明大街,6,195.0,430.6,30269,22.763131,113.934294
名居·绿海湾,南山区,蛇口街道,湾厦,2/8,0.0,180.4,20168,22.495192,113.934662
恒裕滨城二期,南山区,蛇口街道,湾厦,2/8,0.0,163.0,36998,22.497814,113.934502
阳光带海滨城彩虹之岸,南山区,粤海街道,科苑,13/2/8,0.0,193.5,46835,22.528666,113.942063
前海湾花园二期,南山区,南山街道,妈湾,5,0.0,87.8,13445,22.511731,113.881608
太子湾·湾玺,南山区,招商街道,太子湾,12,0.0,280.6,24550,22.473815,113.905763
保利城花园,南山区,粤海街道,南山书城,9,0.0,293.0,16292,22.518839,113.923482
金晖大厦,南山区,南山街道,南油,12/9,0.0,201.5,6614,22.512179,113.919949
臻林·悦湾汇,南山区,南头街道,中山公园,12,0.0,170.3,13440,22.551079,113.917853
万科云城五期,南山区,西丽街道,石鼓,13,0.0,179.1,13136,22.576227,113.938542
雅仕荔景苑,南山区,粤海街道,南油,12/9,0.4,77.0,9756,22.513885,113.921887
松坪山科苑新区,南山区,西丽街道,高新北,13,1.2,159.5,34457,22.558593,113.941485
桃花园,南山区,南头街道,桃园,1/12,1.3,129.3,16269,22.536367,113.919189
水湾B区,南山区,招商街道,水湾,2/8,2.3,100.5,17646,22.492293,113.915215
海境界家园,南山区,蛇口街道,湾厦,2/8,3.5,203.6,30499,22.495483,113.932083
西丽蓝天,南山区,西丽街道,留仙洞,13/5,3.6,103.0,8550,22.584799,113.938325
中山苑,南山区,南头街道,中山公园,12,4.1,149.0,13039,22.548559,113.919306
燕晗花园,南山区,沙河街道,侨城北,2/8,4.1,167.0,10550,22.545659,113.984398
中海深圳湾畔花园,南山区,沙河街道,白石洲,1,4.3,105.6,20975,22.543434,113.96207
永标大厦,南山区,西丽街道,茶光,7,5.2,144.2,1904,22.578305,113.948912
锦绣花园,南山区,沙河街道,侨城东,1,5.4,284.4,114598,22.53779,113.99041
百旺研发大厦,南山区,西丽街道,百旺,13,5.5,115.6,10334,22.626049,113.934868
现代城华庭,南山区,南山街道,南光,12,6.0,92.1,14922,22.520307,113.919607
蔚蓝海岸二期,南山区,粤海街道,登良,2/8,6.3,207.1,97469,22.511381,113.93085
港湾丽都,南山区,南头街道,大新,1,6.6,148.6,20740,22.534093,113.909618
现代城梦想家园,南山区,粤海街道,南油,12/9,6.7,194.9,7923,22.515068,113.922194
花园城三期,南山区,招商街道,四海,12,6.8,202.4,50938,22.501609,113.917766
怡海广场,南山区,南山街道,南光,12,6.8,102.0,4417,22.519412,113.920637
晗山悦海,南山区,招商街道,四海,12,7.0,174.5,26330,22.504461,113.915887
荔园大厦,南山区,南山街道,南山,11/12,7.2,140.1,4560,22.527327,113.920052
中信·海阔天空雅居,南山区,粤海街道,科苑,13/2/8,7.3,165.0,22135,22.529045,113.939951
安居高新花园,南山区,粤海街道,高新南,9,8.0,135.5,30436,22.536968,113.946381
豪方悠然居,南山区,招商街道,四海,12,8.4,100.5,8972,22.50312,113.916081
建安大院,南山区,南头街道,中山公园,12,9.0,120.0,15981,22.549917,113.919593
光彩新世纪,南山区,南山街道,南山,11/12,11.0,115.7,5766,22.526317,113.919374
花园城一期,南山区,招商街道,四海,12,11.2,334.2,22600,22.506278,113.917565
前海花园,南山区,南头街道,大新,1,12.3,322.8,138317,22.536815,113.90771
桃源村二期,南山区,桃源街道,桃源村,7,12.3,117.5,92478,22.56194,113.976381
深南花园,南山区,粤海街道,深大,1/13,12.8,346.5,14392,22.543935,113.93974
城市山林,南山区,南山街道,荔林,9,13.1,223.9,78595,22.513319,113.909928
天悦湾花园,南山区,西丽街道,留仙洞,13/5,13.4,154.8,26793,22.584444,113.940541
俊峰丽舍,南山区,桃源街道,桃源村,7,13.7,172.2,48045,22.564079,113.977987
龙辉花园,南山区,桃源街道,珠光,7,15.1,168.6,92486,22.569917,113.9551
海典居,南山区,南山街道,南山书城,9,15.2,115.2,5506,22.520934,113.922621
招商海月花园二期,南山区,招商街道,海月,2/8,15.6,279.0,85598,22.505189,113.93137
鸿荣源·尚璟公馆,南山区,南头街道,同乐南,12,16.1,63.6,7240,22.559785,113.914346
郁金香家园,南山区,桃源街道,桃源村,7,18.1,186.2,14648,22.564509,113.976654
青春家园,南山区,粤海街道,南山书城,9,18.3,145.2,8648,22.520203,113.923888
丽雅苑,南山区,西丽街道,留仙洞,13/5,19.5,204.3,19526,22.585598,113.940322
前海宸湾,南山区,招商街道,赤湾,2/5/8,19.7,119.7,10533,22.482389,113.893657
金钟大厦,南山区,粤海街道,南山书城,9,20.4,83.3,4866,22.520939,113.924137
西丽华昌大厦,南山区,西丽街道,茶光,7,21.0,127.7,1354,22.578038,113.94872
龙都花园,南山区,桃源街道,珠光,7,21.6,159.2,19610,22.572378,113.954752
汇景豪苑,南山区,粤海街道,深大,1/13,23.0,375.4,18350,22.543923,113.938349
天骄华庭,南山区,招商街道,海月,2/8,23.8,190.6,24398,22.502365,113.931264
丽苑阁,南山区,西丽街道,西丽,5/7,24.6,112.8,1672,22.582887,113.950075
荔园,南山区,招商街道,水湾,2/8,26.6,190.7,23436,22.491858,113.913012
龙联花园,南山区,桃源街道,珠光,7,31.8,219.9,45709,22.572176,113.957695
天鹅湖花园三期,南山区,沙河街道,侨城北,2/8,32.0,136.8,38423,22.546663,113.982736
观峰阁,南山区,南山街道,荔湾,5,32.2,170.8,5608,22.499831,113.889117
海晖大厦,南山区,粤海街道,南油,12/9,32.8,303.2,9120,22.510858,113.920756
