小区名,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
合正·汇一城,西乡街道,西乡,1,0.0,237.8,48314,22.5785,113.859213
泰华·君逸世家,新安街道,宝体,1,0.0,144.5,24934,22.564538,113.876482
康城花园,沙井街道,沙蚝,12,0.0,104.0,11918,22.742959,113.797536
宏发领域,新安街道,宝安中心,1/5,0.0,201.0,37412,22.557254,113.884226
云玺锦庭,新安街道,新安,1,0.0,176.0,19281,22.552313,113.889287
会展湾雍境,沙井街道,海上田园南,12,0.0,215.3,36392,22.720334,113.771092
春和雅苑,沙井街道,马安山,11,0.0,105.4,17114,22.719159,113.8127
榕江壹号院,西乡街道,碧海湾,11,0.0,303.9,26960,22.577654,113.852966
海湾明珠,西乡街道,西乡,1,0.0,169.8,28923,22.57805,113.855739
星航华府,福永街道,兴围,12,0.0,163.8,47846,22.645963,113.827899
洪福雅苑,新安街道,翻身,5,0.0,80.2,8832,22.56365,113.888533
湖景居,新安街道,新安公园,12,0.0,86.6,4848,22.564495,113.905944
海信花园,新安街道,新安公园,12,0.0,92.7,4471,22.565545,113.905108
壹航城,航城街道,后瑞,1,0.0,236.6,26040,22.633843,113.829777
雅然居花园,新安街道,上川,12,2.0,416.5,12088,22.581855,113.888102
塘坊花园,新安街道,上川,12,3.0,260.5,76440,22.581187,113.893476
马安山花园,沙井街道,马安山,11,4.5,104.6,12294,22.719763,113.810936
泰华·阳光海,西乡街道,碧海湾,11,5.1,396.8,115206,22.575419,113.851554
福中福·幸福海岸,新安街道,宝体,1,5.9,300.0,76146,22.562517,113.873655
蚝三丰泽园,沙井街道,沙蚝,12,6.0,251.5,66273,22.743844,113.794658
海滨花园,新安街道,上川,12,6.3,168.6,17102,22.581227,113.891035
黄金台小区,新安街道,上川,12,6.3,443.4,23940,22.583671,113.890567
集信名城,燕罗街道,松岗公园,6,6.6,298.2,146302,22.783823,113.843678
富源商贸中心,新安街道,翻身,5,6.8,90.6,8029,22.562877,113.889338
雅仕阁,新安街道,上川,12,7.6,179.7,3766,22.578236,113.892058
圣淘沙骏园,西乡街道,西乡,1,7.7,239.4,57461,22.576986,113.857625
第五大道高发西岸花园,新安街道,宝安,11,7.7,279.4,79126,22.558053,113.872808
富士君荟,西乡街道,固戍,1,9.0,135.8,19416,22.604083,113.840732
