小区名,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
龙光玖龙台,光明街道,凤凰城,13/6,0.0,284.9,154762,22.74809,113.929095
电建洺悦鹏著,光明街道,虹桥公园,6B,0.0,184.0,19658,22.754807,113.944877
深铁瑞城,凤凰街道,长圳,6,0.0,305.1,199939,22.731055,113.92376
新地中央花园,光明街道,光明大街,6,1.3,200.5,37930,22.763248,113.938193
福庄花园,马田街道,薯田埔,6,4.6,98.0,18919,22.783645,113.863901
凤凰英荟城,凤凰街道,长圳,6,5.1,275.0,204830,22.730844,113.928171
宏发·美域,公明街道,红花山,6,6.0,257.5,42223,22.77921,113.903587
宏发雍景城,公明街道,红花山,6,8.3,167.7,85353,22.782363,113.901435
益田假日府邸,马田街道,新庄,13,8.5,123.4,10927,22.769835,113.898808
薯田埔花园,马田街道,薯田埔,6,12.3,165.2,53284,22.785118,113.861932
特区建发乐府广场,光明街道,凤凰城,13/6,13.5,180.1,46646,22.751626,113.926807
伟城贤德瑞府,公明街道,李松蓢,13,33.1,104.2,9378,22.806867,113.888648
富豪花园,公明街道,公明广场,13/6,33.5,319.5,39486,22.780548,113.890187
安居萃云阁,光明街道,德雅路,13,42.6,226.5,10101,22.74314,113.940808
深圳地铁长圳车辆段上盖物业,凤凰街道,长圳,6,45.2,362.4,149193,22.731441,113.923382
长春花园,公明街道,上村,13,47.4,220.4,64463,22.785913,113.89041
秋园雅苑,马田街道,将围,13,56.9,368.6,11634,22.763091,113.901333
瑞璟公馆,马田街道,薯田埔,6,84.4,195.0,9023,22.785789,113.863347
安居·鸣鹿苑北区,玉塘街道,长圳,6,86.4,309.8,41786,22.726874,113.924606
金地明峰府,马田街道,薯田埔,6,103.1,423.7,30177,22.783214,113.859034
金融街华发·融御华府,凤凰街道,凤凰城,13/6,105.5,290.8,23364,22.748852,113.925792
中海时光境,凤凰街道,光明城,13/6B,109.3,378.4,27985,22.738905,113.947317
玺云著花园,新湖街道,科学公园,6,118.7,229.8,21233,22.782458,113.929966
天汇时代花园·二期,马田街道,公明广场,13/6,122.2,420.7,33775,22.776628,113.888672
华侨城·九樾广场,新湖街道,科学公园,6,124.2,196.4,6866,22.782128,113.928501
润宏城·润雅园,凤凰街道,月亮路,13,126.7,243.6,19280,22.751533,113.906955
安居澜庭,新湖街道,中大,6B,142.5,351.9,69306,22.796373,113.949724
光明大第,光明街道,德雅路,13,143.4,439.0,66805,22.744257,113.939103
华润润晖府,凤凰街道,德雅路,13,145.6,416.1,17406,22.738583,113.944642
富安花园,光明街道,虹桥公园,6B,150.4,327.1,42862,22.755415,113.943175
绿地新都会,光明街道,光明大街,6,154.1,288.0,21089,22.766374,113.935536
明景园,公明街道,红花山,6,157.9,399.9,5820,22.779695,113.905541
端慧苑,马田街道,将围,13,162.0,529.3,8517,22.764475,113.900169
佳兆业云峰汇,光明街道,光明大街,6,176.9,412.5,33139,22.768522,113.936529
特发学府朗园,公明街道,李松蓢,13,194.1,382.6,30078,22.804229,113.888194
星河天地四期·SPARK星寓,光明街道,光明大街,6,195.0,430.6,30269,22.763131,113.934294
