小区名,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
名居·绿海湾,蛇口街道,湾厦,2/8,0.0,180.4,20168,22.495192,113.934662
恒裕滨城二期,蛇口街道,湾厦,2/8,0.0,163.0,36998,22.497814,113.934502
阳光带海滨城彩虹之岸,粤海街道,科苑,13/2/8,0.0,193.5,46835,22.528666,113.942063
前海湾花园二期,南山街道,妈湾,5,0.0,87.8,13445,22.511731,113.881608
太子湾·湾玺,招商街道,太子湾,12,0.0,280.6,24550,22.473815,113.905763
保利城花园,粤海街道,南山书城,9,0.0,293.0,16292,22.518839,113.923482
金晖大厦,南山街道,南油,12/9,0.0,201.5,6614,22.512179,113.919949
臻林·悦湾汇,南头街道,中山公园,12,0.0,170.3,13440,22.551079,113.917853
万科云城五期,西丽街道,石鼓,13,0.0,179.1,13136,22.576227,113.938542
雅仕荔景苑,粤海街道,南油,12/9,0.4,77.0,9756,22.513885,113.921887
松坪山科苑新区,西丽街道,高新北,13,1.2,159.5,34457,22.558593,113.941485
桃花园,南头街道,桃园,1/12,1.3,129.3,16269,22.536367,113.919189
水湾B区,招商街道,水湾,2/8,2.3,100.5,17646,22.492293,113.915215
海境界家园,蛇口街道,湾厦,2/8,3.5,203.6,30499,22.495483,113.932083
西丽蓝天,西丽街道,留仙洞,13/5,3.6,103.0,8550,22.584799,113.938325
中山苑,南头街道,中山公园,12,4.1,149.0,13039,22.548559,113.919306
燕晗花园,沙河街道,侨城北,2/8,4.1,167.0,10550,22.545659,113.984398
中海深圳湾畔花园,沙河街道,白石洲,1,4.3,105.6,20975,22.543434,113.96207
永标大厦,西丽街道,茶光,7,5.2,144.2,1904,22.578305,113.948912
锦绣花园,沙河街道,侨城东,1,5.4,284.4,114598,22.53779,113.99041
百旺研发大厦,西丽街道,百旺,13,5.5,115.6,10334,22.626049,113.934868
现代城华庭,南山街道,南光,12,6.0,92.1,14922,22.520307,113.919607
蔚蓝海岸二期,粤海街道,登良,2/8,6.3,207.1,97469,22.511381,113.93085
港湾丽都,南头街道,大新,1,6.6,148.6,20740,22.534093,113.909618
现代城梦想家园,粤海街道,南油,12/9,6.7,194.9,7923,22.515068,113.922194
花园城三期,招商街道,四海,12,6.8,202.4,50938,22.501609,113.917766
怡海广场,南山街道,南光,12,6.8,102.0,4417,22.519412,113.920637
晗山悦海,招商街道,四海,12,7.0,174.5,26330,22.504461,113.915887
荔园大厦,南山街道,南山,11/12,7.2,140.1,4560,22.527327,113.920052
中信·海阔天空雅居,粤海街道,科苑,13/2/8,7.3,165.0,22135,22.529045,113.939951
安居高新花园,粤海街道,高新南,9,8.0,135.5,30436,22.536968,113.946381
豪方悠然居,招商街道,四海,12,8.4,100.5,8972,22.50312,113.916081
建安大院,南头街道,中山公园,12,9.0,120.0,15981,22.549917,113.919593
光彩新世纪,南山街道,南山,11/12,11.0,115.7,5766,22.526317,113.919374
花园城一期,招商街道,四海,12,11.2,334.2,22600,22.506278,113.917565
前海花园,南头街道,大新,1,12.3,322.8,138317,22.536815,113.90771
桃源村二期,桃源街道,桃源村,7,12.3,117.5,92478,22.56194,113.976381
深南花园,粤海街道,深大,1/13,12.8,346.5,14392,22.543935,113.93974
城市山林,南山街道,荔林,9,13.1,223.9,78595,22.513319,113.909928
天悦湾花园,西丽街道,留仙洞,13/5,13.4,154.8,26793,22.584444,113.940541
俊峰丽舍,桃源街道,桃源村,7,13.7,172.2,48045,22.564079,113.977987
龙辉花园,桃源街道,珠光,7,15.1,168.6,92486,22.569917,113.9551
海典居,南山街道,南山书城,9,15.2,115.2,5506,22.520934,113.922621
招商海月花园二期,招商街道,海月,2/8,15.6,279.0,85598,22.505189,113.93137
鸿荣源·尚璟公馆,南头街道,同乐南,12,16.1,63.6,7240,22.559785,113.914346
郁金香家园,桃源街道,桃源村,7,18.1,186.2,14648,22.564509,113.976654
